department,region,termination_date,bracket_salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
sales,US,11/16/2015,"low, 50000",0.56,0.87,3,146,10,0,0,0
support,Canada,20/09/2009,"medium, 90000",0.31,0.51,2,146,3,0,0,0
support,US,05/13/2017,"medium, 64000",0.09,0.77,6,244,4,0,0,1
marketing,US,12/24/2001,"medium, 79000",0.79,0.9,5,184,3,0,0,0
technical,US,07/02/2017,"high, 167000",0.88,0.59,4,142,3,0,0,0
sales,US,09/29/2006,"medium, 83000",0.85,0.99,5,176,4,0,0,0
support,US,09/07/2003,"medium, 78000",0.31,0.38,3,173,2,0,0,0
sales,US,01/22/2016,"medium, 78000",0.65,0.79,5,266,3,0,0,0
sales,US,09/17/2011,"low, 50000",0.88,0.98,3,160,2,0,0,0
sales,US,10/14/2015,"medium, 80000",0.59,0.88,4,155,3,1,0,0
marketing,US,04/11/2016,"medium, 89000",0.98,0.84,3,286,4,0,0,0
technical,US,11/15/2015,"low, 58000",0.71,0.9,3,138,3,0,0,0
support,US,07/01/2017,"low, 39000",0.89,0.83,3,164,3,0,0,0
accounting,US,05/14/2004,"medium, 79000",0.43,0.53,2,145,3,0,0,1
sales,US,12/06/2015,"low, 50000",0.57,0.78,4,143,3,0,0,0
support,US,04/26/2015,"low, 31000",0.7,0.58,3,205,3,0,0,0
technical,US,11/18/2000,"medium, 78000",0.83,0.78,3,165,3,1,0,0
support,US,06/10/2002,"medium, 77000",0.95,0.84,3,261,8,1,1,0
management,US,03/07/2016,"medium, 73000",0.75,0.58,3,159,3,0,0,0
sales,US,03/05/2015,"medium, 62000",0.64,0.95,4,199,4,0,0,0
technical,US,10/08/2008,"medium, 65000",0.79,0.6,5,235,2,0,0,0
sales,US,01/07/2003,"low, 50000",0.74,0.81,5,106,5,0,0,0
technical,APAC,08/06/2002,"low, 60000",0.85,0.49,3,258,3,0,0,0
sales,Europe,25/10/2008,"low, 35000",0.67,1,4,145,3,1,1,0
support,US,03/06/2017,"low, 48000",0.54,0.64,3,190,7,0,0,0
sales,US,04/10/2017,"low, 58000",0.99,0.92,5,213,2,0,0,0
management,US,12/04/2007,"low, 38000",0.41,0.56,2,133,3,0,0,1
sales,Canada,22/08/2015,"high, 230000",0.84,0.85,5,246,3,0,0,0
management,US,09/22/2017,"medium, 64000",0.14,0.75,4,277,5,1,0,1
sales,US,08/21/2014,"low, 40000",0.37,0.46,2,134,3,0,0,1
sales,US,01/04/2014,"medium, 68000",0.92,0.87,4,226,6,1,0,1
technical,US,09/06/2007,"medium, 80000",0.93,0.76,3,244,3,0,0,0
technical,US,05/05/2007,"medium, 84000",0.78,0.59,5,236,3,0,0,0
IT,Canada,19/08/2007,"medium, 64000",0.82,0.86,5,257,5,0,0,1
marketing,US,11/07/2015,"medium, 83000",0.24,0.64,5,190,4,0,0,0
technical,Europe,22/06/2016,"low, 50000",0.63,0.49,3,252,3,0,0,0
support,US,06/03/2016,"medium, 70000",0.36,0.48,2,158,3,0,0,1
support,US,09/26/2017,"medium, 70000",0.59,0.51,2,126,3,0,0,0
marketing,Europe,03/01/2004,"medium, 64000",0.98,0.39,5,158,4,1,0,0
sales,US,09/10/2017,"low, 55000",0.32,0.81,5,111,4,0,0,0
RandD,APAC,14/11/2011,"medium, 76000",0.7,0.69,4,158,3,0,0,0
sales,US,04/24/2015,"low, 44000",0.44,0.45,2,156,3,0,0,1
hr,US,07/03/2016,"medium, 67000",1,0.93,5,167,3,0,0,0
technical,Canada,03/01/2015,"low, 60000",0.11,0.88,7,272,4,0,0,1
support,Europe,04/11/2008,"low, 59000",0.8,0.55,4,269,3,0,0,0
management,Europe,12/04/2009,"high, 145000",0.16,0.93,6,218,6,1,0,0
management,Europe,03/04/2003,"high, 116000",0.44,0.69,2,173,2,0,0,0
technical,US,04/16/2004,"medium, 62000",0.94,0.88,4,270,3,0,0,0
sales,US,07/07/2014,"low, 56000",0.44,0.44,2,141,7,1,1,0
technical,Europe,13/03/2002,"low, 39000",0.55,0.68,3,178,3,1,0,0
management,US,12/29/2007,"high, 131000",0.57,0.46,3,167,4,0,0,0
support,US,08/15/2008,"low, 58000",0.09,0.77,6,244,4,0,0,1
IT,Canada,07/01/2003,"low, 34000",0.95,0.71,3,251,2,1,0,0
support,US,09/27/2017,"low, 45000",0.91,0.77,3,144,3,0,0,0
sales,Europe,09/05/2012,"medium, 76000",0.99,0.86,3,167,2,0,0,0
support,US,01/18/2002,"low, 60000",0.56,0.9,3,235,2,0,0,0
support,Canada,12/01/2016,"low, 51000",0.84,0.84,4,266,3,0,0,0
RandD,US,05/13/2016,"low, 30000",0.75,0.77,5,199,4,0,0,0
product_mng,Europe,07/11/2002,"medium, 77000",0.62,0.55,4,218,3,0,0,0
RandD,US,02/26/2015,"low, 58000",0.67,0.72,2,134,10,0,0,0
RandD,US,03/09/2017,"low, 31000",0.63,0.79,4,228,4,0,0,0
sales,US,07/14/2010,"high, 184000",0.11,0.83,6,295,4,0,0,1
sales,US,08/08/2016,"low, 36000",0.38,0.47,2,128,3,0,0,1
support,US,12/31/2008,"low, 59000",0.53,0.43,2,139,3,0,0,0
sales,US,06/26/2008,"medium, 76000",0.81,0.49,2,205,5,1,0,0
sales,Europe,21/09/2017,"low, 60000",0.43,0.44,5,213,3,0,0,0
sales,US,12/11/2003,"low, 44000",0.87,0.94,3,217,3,0,0,0
sales,US,02/20/2003,"medium, 67000",0.34,0.46,3,155,10,0,0,0
technical,Europe,25/11/2016,"low, 60000",0.44,0.51,2,138,3,0,0,1
RandD,US,11/28/2004,"low, 34000",0.23,0.72,6,121,3,0,0,0
accounting,Europe,02/01/2016,"medium, 98000",0.48,0.51,3,136,3,0,0,0
sales,US,02/08/2017,"medium, 80000",0.16,0.97,6,282,4,0,0,0
support,US,11/09/2015,"low, 31000",0.88,0.68,3,185,2,0,0,0
accounting,Europe,01/04/2002,"medium, 71000",0.58,0.5,3,208,3,0,0,0
sales,US,07/02/2013,"medium, 86000",0.63,0.85,5,214,2,0,0,0
sales,US,10/11/2002,"medium, 76000",0.85,0.99,3,201,3,0,0,0
sales,Europe,14/08/2004,"medium, 86000",0.5,0.59,4,157,2,0,0,0
RandD,Europe,26/02/2012,"low, 50000",0.11,0.87,6,306,4,0,0,1
management,US,03/16/1994,"medium, 71000",0.45,0.55,2,140,3,0,0,1
support,US,03/21/2017,"medium, 80000",0.86,0.88,4,220,2,0,0,0
support,US,08/21/2015,"medium, 65000",0.53,0.79,3,206,3,0,0,0
technical,US,02/01/2014,"high, 150000",0.3,0.39,3,193,3,1,0,0
support,US,10/04/2007,"medium, 80000",0.85,0.49,4,139,2,0,0,0
support,US,06/11/2003,"medium, 63000",0.74,0.74,4,233,2,0,0,0
sales,US,02/01/2012,"medium, 62000",0.19,0.85,5,249,3,0,0,0
accounting,US,12/05/2006,"low, 54000",0.8,0.91,3,246,3,0,0,0
accounting,US,10/05/1999,"medium, 80000",0.94,0.73,3,154,3,0,0,0
support,US,11/24/2005,"low, 53000",0.61,0.58,4,142,4,0,0,0
IT,US,10/23/2003,"high, 126000",0.63,0.96,5,152,3,0,0,0
support,US,05/25/2016,"medium, 78000",0.35,0.81,6,256,3,0,0,0
product_mng,US,12/06/2007,"low, 33000",0.37,0.51,2,132,3,0,0,1
technical,US,02/27/2002,"medium, 69000",0.56,0.53,3,189,3,0,0,0
accounting,US,02/10/2008,"medium, 78000",0.14,0.9,4,198,4,0,0,0
IT,Europe,07/02/2004,"low, 51000",0.97,0.64,4,152,2,0,0,0
support,US,03/17/2016,"low, 33000",0.9,0.49,3,259,6,0,0,0
accounting,US,09/16/2005,"low, 54000",0.94,0.73,5,142,2,1,0,0
marketing,US,04/27/2007,"low, 33000",0.66,0.9,4,268,3,0,0,0
technical,US,10/02/2002,"low, 30000",0.96,0.83,4,132,6,0,0,0
accounting,US,01/04/2005,"medium, 90000",0.18,0.49,3,240,2,1,0,0
IT,US,01/15/2015,"medium, 74000",0.96,0.6,3,160,10,0,0,0
IT,US,09/11/2017,"medium, 67000",0.84,0.83,4,227,5,0,0,1
technical,US,09/12/2006,"low, 33000",0.52,0.88,3,261,4,0,0,0
technical,Canada,08/05/2015,"low, 40000",0.27,0.85,2,277,6,1,0,0
technical,US,01/25/2017,"medium, 78000",0.39,0.54,2,127,3,0,0,1
support,US,03/14/2002,"medium, 66000",0.72,0.53,3,179,3,0,0,0
technical,US,03/01/2016,"low, 57000",0.41,0.55,2,148,3,0,0,1
accounting,Canada,10/04/2007,"high, 260000",0.73,0.8,4,251,2,1,0,0
IT,US,08/28/2016,"medium, 86000",0.94,0.58,3,135,3,0,0,0
marketing,Europe,28/04/2008,"medium, 74000",0.8,0.58,4,175,2,0,0,0
technical,US,07/25/2005,"medium, 68000",0.73,0.93,4,162,2,1,0,0
sales,US,05/09/2016,"low, 40000",0.72,0.87,3,238,3,0,0,0
IT,US,01/15/2017,"medium, 89000",0.87,0.93,3,173,2,0,0,0
sales,Europe,27/05/2002,"low, 30000",0.91,0.56,3,168,2,0,0,0
marketing,US,05/10/2005,"medium, 76000",0.69,0.58,4,149,3,0,1,0
sales,US,09/24/2002,"low, 31000",0.11,0.79,7,310,4,0,0,1
accounting,Europe,07/11/2016,"low, 44000",0.69,0.74,3,215,2,0,0,0
marketing,US,05/20/2012,"medium, 65000",0.91,0.9,4,174,3,0,0,0
technical,Europe,26/09/2004,"low, 59000",0.81,0.88,5,242,5,0,0,1
sales,Canada,26/08/2015,"low, 51000",0.99,0.57,3,176,4,1,0,0
sales,US,12/17/2012,"medium, 73000",0.63,0.61,5,186,10,0,0,0
sales,US,01/05/2017,"low, 57000",0.67,0.9,5,171,3,0,0,0
sales,Europe,03/07/2005,"low, 48000",0.64,0.74,4,157,4,0,0,0
management,Europe,24/03/2016,"high, 143000",0.09,0.86,6,291,4,0,0,1
support,Europe,21/11/2006,"medium, 62000",0.52,0.96,6,166,5,1,0,0
sales,US,05/10/2001,"low, 47000",0.36,0.77,4,252,2,0,0,0
RandD,Canada,11/09/2007,"medium, 87000",0.43,0.46,2,149,3,0,0,1
sales,Europe,22/04/2010,"medium, 67000",0.54,0.82,4,266,2,0,0,0
support,US,03/16/2016,"low, 54000",0.84,0.88,4,263,5,1,0,1
management,US,10/02/2015,"high, 154000",0.98,0.74,4,151,3,0,0,0
technical,US,07/22/2010,"low, 59000",0.59,0.47,3,143,2,0,0,0
sales,US,11/07/2016,"low, 57000",0.45,0.47,2,135,3,0,0,1
technical,US,05/23/2005,"low, 34000",0.91,0.85,3,244,3,1,0,0
sales,Europe,14/01/2003,"low, 51000",0.73,0.71,3,210,3,0,0,0
IT,Europe,11/07/2009,"medium, 80000",0.3,0.86,6,232,3,0,0,0
hr,US,02/03/2015,"low, 30000",0.59,0.65,4,219,3,1,0,0
IT,Europe,09/11/2008,"medium, 80000",0.89,0.98,3,220,3,0,0,0
sales,US,09/18/2016,"medium, 62000",0.74,0.63,4,238,2,0,0,0
marketing,Canada,01/03/2002,"medium, 90000",0.57,0.53,5,216,2,1,0,0
IT,APAC,18/12/2017,"medium, 79000",0.5,0.91,4,148,2,0,0,0
sales,US,06/29/2005,"low, 49000",0.24,0.91,5,258,6,0,0,0
hr,US,05/11/2007,"low, 51000",0.83,0.93,6,130,5,0,0,0
sales,US,10/18/2009,"low, 33000",0.09,0.94,7,247,4,0,0,1
sales,US,05/28/2016,"low, 50000",0.73,0.62,5,134,3,0,0,0
management,US,02/10/2002,"medium, 66000",0.67,0.91,2,245,2,1,1,0
sales,US,03/13/2002,"high, 140000",0.16,0.57,5,144,4,1,0,0
marketing,US,02/06/1987,"medium, 76000",0.38,0.46,2,147,3,0,0,1
IT,Europe,04/12/2015,"high, 178000",0.77,0.64,4,192,3,0,0,0
sales,Europe,03/11/2009,"medium, 62000",0.55,0.98,4,137,2,0,0,0
sales,US,08/18/2003,"low, 60000",0.83,0.91,4,266,3,1,0,0
technical,US,06/30/1987,"medium, 85000",0.41,0.46,2,160,3,0,1,1
management,US,02/26/2008,"medium, 66000",0.43,0.47,2,128,3,0,0,1
technical,US,12/04/2002,"low, 55000",0.1,0.77,7,291,4,0,0,1
technical,US,03/26/2011,"low, 37000",0.27,0.42,6,173,7,0,0,0
sales,Europe,04/01/2002,"high, 155000",0.41,0.46,2,128,3,0,0,1
accounting,Europe,22/07/2012,"low, 37000",0.98,0.64,3,263,4,0,0,0
sales,US,02/23/2004,"low, 30000",0.96,0.54,5,161,3,1,0,0
marketing,Europe,07/03/2009,"low, 49000",0.69,0.83,4,252,3,0,0,0
product_mng,US,10/11/2009,"high, 193000",0.54,0.76,2,166,4,0,0,0
technical,APAC,11/03/2016,"medium, 73000",0.7,0.88,3,159,2,0,0,0
IT,US,10/26/2008,"medium, 61000",0.58,0.73,3,165,2,0,0,0
RandD,Europe,22/05/2016,"medium, 65000",0.51,0.8,5,268,3,0,0,0
support,US,08/11/2015,"medium, 63000",0.64,0.53,3,281,3,0,0,0
RandD,US,06/11/2013,"medium, 70000",0.3,0.48,2,104,2,0,0,0
RandD,Canada,24/04/2011,"medium, 79000",0.61,0.68,4,244,3,0,0,0
hr,US,10/08/2009,"medium, 62000",0.51,0.56,4,198,2,1,0,0
sales,US,11/23/2016,"medium, 70000",0.67,0.96,4,207,3,0,0,0
accounting,Europe,15/08/1985,"low, 51000",0.4,0.56,2,148,3,0,0,1
IT,US,08/14/2006,"low, 32000",0.09,0.82,6,249,4,0,0,1
sales,Europe,13/02/2016,"low, 58000",0.87,0.76,5,182,3,0,0,0
technical,Europe,22/11/2001,"low, 32000",0.24,0.94,6,144,4,0,0,0
technical,US,04/26/2017,"low, 46000",0.84,0.85,4,249,6,0,0,1
RandD,Canada,27/08/2009,"medium, 73000",0.84,0.99,3,144,4,0,0,0
product_mng,US,08/03/2003,"medium, 78000",0.87,0.98,4,238,3,1,0,0
technical,Europe,19/06/2017,"high, 134000",0.7,0.58,5,168,3,0,0,0
RandD,US,04/17/2017,"low, 50000",0.77,0.71,3,134,3,0,0,0
support,Canada,30/08/2015,"low, 49000",0.31,0.5,3,262,5,0,0,0
sales,US,08/29/2015,"low, 39000",0.59,0.79,4,209,2,0,0,0
technical,Europe,25/04/2014,"medium, 68000",0.33,0.64,2,274,3,1,0,0
product_mng,Europe,06/07/2016,"low, 37000",0.84,0.54,4,179,2,0,0,0
technical,APAC,18/09/2017,"medium, 68000",0.57,0.98,3,171,3,0,0,0
technical,US,06/27/2003,"high, 137000",0.23,0.79,5,196,5,1,0,0
sales,US,06/04/2007,"medium, 72000",0.85,1,5,244,2,0,0,0
technical,US,04/07/2015,"medium, 74000",0.77,0.91,5,236,5,0,0,1
IT,Europe,16/06/2015,"low, 32000",0.83,0.73,4,157,2,0,0,0
sales,Europe,02/11/2017,"low, 52000",0.74,0.71,4,243,3,0,0,0
sales,US,02/25/2016,"high, 130000",0.79,0.64,4,263,2,0,0,0
technical,Canada,25/04/2006,"medium, 75000",0.63,0.75,4,155,3,0,0,0
RandD,US,08/23/2014,"high, 128000",0.36,0.56,2,137,3,0,0,1
sales,US,11/18/2017,"low, 34000",0.64,0.9,4,211,3,0,0,0
accounting,US,08/04/1991,"low, 53000",0.59,0.64,5,269,3,0,0,0
marketing,US,08/07/2014,"low, 55000",0.57,0.74,3,257,2,0,0,0
sales,US,04/01/2016,"medium, 67000",0.99,0.59,5,263,3,0,0,0
product_mng,US,04/18/2006,"medium, 65000",0.89,1,5,224,5,0,0,1
technical,US,06/22/2004,"medium, 83000",0.95,0.79,4,174,3,0,0,0
sales,Europe,18/08/2016,"medium, 63000",0.96,0.49,5,137,3,0,0,0
accounting,Canada,28/02/2016,"low, 37000",0.58,0.65,4,248,4,0,0,0
sales,US,08/23/2015,"low, 48000",0.4,0.51,2,139,3,0,0,1
marketing,US,03/27/2015,"medium, 71000",0.1,0.77,6,255,4,0,0,1
technical,Europe,14/01/2016,"high, 154000",0.96,0.71,3,205,8,1,0,0
product_mng,US,06/09/2003,"medium, 84000",0.67,0.56,5,174,2,1,0,0
technical,Europe,01/11/2015,"medium, 89000",0.85,0.57,4,216,2,0,0,0
technical,US,03/11/2006,"low, 41000",0.89,0.74,5,260,6,0,0,0
hr,US,06/19/2009,"low, 31000",0.27,0.64,2,188,3,0,0,0
sales,US,06/25/2005,"medium, 86000",0.1,0.97,7,254,4,0,0,1
sales,US,11/24/2017,"low, 42000",0.77,0.48,5,262,7,0,0,0
sales,Europe,25/03/2015,"low, 45000",0.37,0.51,2,127,3,0,0,1
IT,US,06/12/2015,"low, 49000",0.76,0.71,4,156,3,0,0,0
sales,US,08/27/2016,"low, 49000",0.92,0.64,4,190,10,1,0,0
support,US,03/12/2016,"low, 57000",0.53,0.59,3,148,3,0,0,0
support,US,05/09/2007,"low, 37000",0.76,0.64,4,144,2,0,0,0
technical,US,03/05/2017,"medium, 71000",0.74,0.68,3,206,2,1,0,0
management,US,04/17/2017,"high, 180000",0.98,0.95,4,250,2,1,0,0
hr,US,12/11/2009,"medium, 89000",0.87,0.89,4,225,8,0,0,0
sales,US,07/03/2003,"low, 40000",0.6,0.57,3,202,3,0,0,0
sales,US,01/20/2017,"medium, 72000",0.55,0.6,3,180,4,0,0,1
sales,US,06/08/2016,"medium, 87000",0.64,0.55,4,215,2,0,0,0
support,US,02/01/2015,"low, 54000",0.74,0.86,3,186,3,1,0,0
technical,Canada,20/02/2015,"medium, 66000",0.12,0.9,3,200,3,0,0,0
product_mng,US,10/25/2004,"low, 35000",0.55,0.62,5,197,2,0,0,0
support,US,12/20/2017,"medium, 74000",0.81,0.76,5,134,2,0,0,0
IT,Europe,05/10/2008,"low, 32000",0.82,0.5,3,198,4,0,0,0
sales,Canada,10/12/2013,"medium, 87000",0.41,0.96,5,167,3,1,0,0
support,US,11/28/2014,"medium, 73000",0.99,0.62,5,133,3,0,0,0
technical,US,11/26/2015,"medium, 65000",0.87,0.62,4,202,3,0,0,0
marketing,US,07/29/2003,"medium, 68000",0.46,0.57,4,275,3,0,0,0
accounting,APAC,22/11/2009,"low, 30000",0.73,0.9,5,184,3,0,0,0
IT,US,05/11/2015,"medium, 69000",0.41,0.53,2,157,3,0,0,1
sales,US,11/15/2016,"low, 56000",0.95,0.96,3,250,3,0,0,0
RandD,Europe,12/10/2008,"low, 36000",0.14,0.52,4,122,2,0,0,0
product_mng,Europe,14/06/1990,"low, 53000",0.37,0.54,2,152,3,0,0,1
sales,US,05/01/2004,"low, 52000",0.72,0.84,5,257,5,0,0,1
technical,US,06/14/1991,"low, 56000",0.95,0.95,4,137,4,0,0,0
RandD,US,05/23/2015,"medium, 75000",0.35,0.81,5,182,5,0,0,0
sales,US,04/25/2016,"low, 34000",0.1,0.83,6,292,4,0,0,1
sales,US,06/02/2007,"medium, 77000",0.84,0.88,4,269,5,0,0,1
technical,US,04/22/2017,"medium, 70000",0.55,0.7,3,237,4,0,0,0
support,Canada,01/04/2010,"high, 151000",0.94,0.77,5,210,3,0,0,0
sales,US,01/20/2003,"medium, 78000",0.93,0.97,3,256,2,1,0,0
sales,US,06/12/2005,"low, 59000",0.11,0.9,6,263,4,0,0,1
sales,Europe,07/04/2004,"medium, 86000",0.84,0.89,4,187,2,1,0,0
technical,Europe,27/10/2001,"low, 59000",0.87,0.74,4,207,3,0,0,0
technical,US,10/13/2015,"medium, 66000",0.8,0.9,4,136,3,0,0,0
technical,US,02/20/2015,"low, 35000",0.71,0.8,4,199,2,0,0,0
sales,Europe,08/11/2005,"medium, 78000",0.96,0.95,3,236,2,0,0,0
technical,US,07/12/2008,"low, 39000",0.83,0.58,4,225,3,0,0,0
sales,US,10/20/2000,"medium, 108000",0.98,0.96,4,253,3,0,0,0
support,Europe,14/11/2017,"medium, 67000",0.7,0.59,3,138,3,0,0,0
IT,US,05/13/2011,"low, 41000",0.74,0.98,3,166,3,1,1,0
RandD,US,04/22/2010,"medium, 66000",0.17,0.55,6,240,6,0,0,0
support,US,03/07/1997,"medium, 71000",0.32,0.86,4,266,4,0,0,0
support,US,02/18/2016,"medium, 68000",0.9,0.58,5,260,2,0,0,0
technical,US,06/26/2017,"medium, 68000",0.73,0.66,3,135,2,0,0,0
sales,US,05/09/2002,"medium, 84000",0.62,0.73,3,245,4,0,0,0
accounting,Canada,06/12/2002,"medium, 81000",0.1,0.83,6,295,4,0,0,1
product_mng,US,09/03/2015,"medium, 63000",0.1,0.84,7,250,4,0,0,1
marketing,US,11/02/2015,"low, 60000",0.37,0.49,2,151,3,0,0,1
sales,US,06/27/2008,"low, 34000",0.52,0.74,3,160,2,0,0,0
support,US,04/06/2016,"medium, 76000",0.18,0.64,3,223,4,1,0,0
IT,Europe,19/06/2015,"low, 40000",0.65,0.89,4,204,8,1,0,0
product_mng,Canada,16/02/2017,"medium, 68000",0.63,0.94,4,145,3,0,0,0
RandD,Europe,12/03/2015,"medium, 67000",0.12,0.95,3,236,3,0,0,0
product_mng,Europe,28/02/2006,"low, 40000",0.68,0.79,5,139,4,0,0,0
technical,US,09/17/2011,"medium, 71000",0.61,0.83,4,245,3,1,1,0
hr,US,02/18/2007,"medium, 68000",0.58,0.84,3,258,4,0,0,0
technical,US,08/08/2015,"medium, 71000",0.48,0.79,3,180,2,0,0,0
technical,US,01/06/2017,"low, 52000",0.75,0.79,4,263,3,0,1,0
IT,US,03/27/2015,"low, 47000",0.62,0.51,4,193,3,0,0,0
sales,US,01/17/2017,"medium, 63000",0.63,0.64,3,208,2,1,0,0
support,Europe,24/10/2016,"medium, 73000",0.64,0.78,5,156,5,1,0,0
sales,Europe,08/05/2017,"low, 30000",0.73,0.52,4,215,3,0,0,0
accounting,US,11/07/2016,"medium, 79000",0.72,0.96,5,267,5,0,0,1
RandD,US,10/27/2004,"medium, 82000",0.58,0.77,4,190,6,0,0,0
technical,US,10/12/2008,"low, 33000",0.93,0.5,5,272,3,0,0,0
management,Canada,21/05/2014,"medium, 73000",0.42,0.52,2,151,3,0,0,1
support,US,06/22/2015,"low, 34000",0.58,0.38,4,203,5,0,0,0
sales,US,06/11/2010,"medium, 66000",0.61,0.73,3,252,3,0,0,0
product_mng,US,06/05/2016,"medium, 77000",0.61,0.87,4,151,3,0,0,0
RandD,US,06/23/2016,"medium, 64000",0.8,0.74,2,205,3,1,0,0
accounting,US,08/12/2016,"medium, 80000",0.67,0.77,5,167,2,0,0,0
hr,US,12/19/2017,"medium, 74000",0.26,0.69,5,213,2,0,0,0
support,Europe,19/05/2016,"medium, 76000",0.74,0.92,5,193,3,0,0,0
RandD,APAC,20/03/2011,"medium, 63000",0.64,0.38,5,171,6,1,1,0
support,US,03/22/2002,"medium, 83000",0.72,0.86,4,191,2,0,0,0
marketing,US,03/28/2015,"medium, 75000",0.89,0.96,5,221,5,0,0,1
sales,Europe,03/01/2014,"low, 60000",0.14,0.58,3,179,5,0,0,0
support,US,12/28/2009,"medium, 61000",0.99,0.44,6,104,6,0,0,0
IT,US,10/03/2017,"medium, 89000",0.21,0.56,6,277,5,0,0,0
support,Canada,22/11/2004,"low, 46000",0.85,0.63,4,154,3,0,0,0
hr,Europe,23/08/2010,"low, 38000",0.66,0.72,4,271,3,0,0,0
sales,Canada,18/01/2008,"low, 49000",0.09,0.83,7,258,4,0,0,1
technical,US,05/07/2003,"medium, 64000",0.69,0.68,3,151,3,1,0,0
marketing,Canada,21/12/2017,"medium, 76000",0.88,0.99,5,262,6,0,0,1
RandD,US,07/05/2006,"medium, 69000",0.94,0.91,5,254,3,0,0,0
sales,US,11/18/2007,"medium, 80000",0.43,0.57,2,127,3,0,0,1
support,US,02/25/2005,"high, 188000",0.39,0.5,2,135,3,0,0,1
marketing,APAC,20/08/1994,"low, 39000",0.7,0.6,5,208,3,0,0,0
support,Europe,05/03/2016,"low, 54000",0.48,0.84,4,186,7,0,1,0
technical,Canada,08/09/2015,"medium, 86000",0.93,0.94,4,233,6,0,0,0
sales,Canada,15/03/2016,"medium, 77000",0.83,0.55,5,250,3,1,0,0
IT,US,09/10/2016,"medium, 76000",0.6,0.98,4,192,3,0,0,0
technical,US,01/04/2016,"low, 36000",0.43,0.57,2,135,3,0,0,1
technical,Europe,24/10/2006,"low, 43000",0.87,0.48,5,242,3,0,0,0
marketing,Europe,25/09/2015,"low, 36000",0.15,0.63,7,229,3,0,0,1
RandD,US,06/01/2017,"medium, 89000",0.86,0.68,5,263,2,0,0,1
accounting,US,08/16/2007,"medium, 78000",0.13,0.63,6,219,6,0,0,0
accounting,US,05/24/2005,"low, 44000",0.83,0.86,3,179,2,0,0,0
sales,US,05/02/2014,"low, 52000",0.91,0.53,4,212,3,0,0,0
hr,Europe,03/03/2009,"medium, 76000",0.76,0.76,4,214,3,0,0,0
sales,US,10/19/2003,"medium, 82000",0.19,0.59,7,192,3,0,0,1
accounting,US,02/17/2015,"low, 51000",0.76,0.99,3,166,3,0,0,0
product_mng,US,02/13/2003,"medium, 84000",0.18,0.86,5,267,4,0,0,0
product_mng,US,06/29/1994,"low, 43000",0.97,0.87,3,207,4,0,0,0
marketing,US,05/04/2016,"medium, 62000",0.21,0.81,4,144,4,0,0,0
technical,US,07/21/2009,"low, 44000",0.67,0.57,2,160,4,0,0,0
IT,US,01/17/2010,"medium, 71000",0.4,0.57,2,160,3,0,0,1
sales,US,08/10/2015,"medium, 73000",0.1,0.96,6,274,4,0,0,1
sales,US,09/12/2015,"high, 139000",0.63,0.98,4,265,3,0,0,0
technical,US,01/07/2006,"medium, 84000",0.96,0.87,4,213,3,0,0,0
support,US,09/08/2010,"medium, 69000",0.32,0.67,5,224,4,1,0,0
marketing,US,01/19/2006,"high, 127000",0.5,0.94,3,262,4,0,0,0
hr,Europe,12/04/2006,"medium, 73000",0.6,0.72,3,181,2,0,0,0
hr,Canada,30/07/2016,"low, 34000",0.63,0.94,3,172,3,0,0,0
marketing,Europe,24/11/2016,"low, 57000",0.51,0.54,4,166,4,1,0,0
sales,Canada,18/04/2009,"medium, 65000",0.78,0.49,3,224,3,0,0,0
product_mng,Europe,21/11/2017,"low, 38000",0.57,1,4,227,10,0,0,0
technical,US,09/11/2005,"low, 46000",0.54,0.87,4,163,3,0,0,0
product_mng,US,04/21/2008,"low, 58000",0.96,0.71,3,205,8,1,0,0
technical,US,02/05/2015,"low, 49000",0.52,0.86,6,103,4,0,0,0
support,Canada,22/12/2013,"low, 42000",0.35,0.52,5,244,3,0,0,0
management,US,12/18/2015,"high, 141000",0.67,0.7,3,149,3,0,0,0
sales,US,10/31/2004,"high, 164000",0.73,0.59,4,214,5,0,0,0
sales,Europe,27/09/2002,"medium, 73000",0.2,0.68,5,167,7,0,0,0
sales,US,02/19/2009,"low, 43000",0.91,0.76,5,152,3,0,0,0
sales,US,09/04/2007,"low, 49000",0.81,0.95,4,275,5,0,0,1
IT,US,01/23/2000,"medium, 72000",0.26,0.46,2,242,3,0,0,1
technical,US,04/17/2001,"medium, 66000",0.76,0.56,3,179,3,1,0,0
sales,US,11/10/2007,"low, 45000",0.65,0.57,3,168,2,0,0,0
technical,US,09/10/2008,"low, 59000",0.99,0.85,5,261,4,0,0,0
hr,US,06/17/2004,"medium, 74000",0.51,0.73,5,241,3,0,0,0
hr,US,09/11/2008,"low, 36000",0.51,0.85,2,248,4,0,0,0
management,US,02/01/2016,"medium, 79000",0.45,0.56,2,154,3,0,0,1
management,APAC,09/11/2005,"low, 59000",1,0.88,4,252,4,0,0,0
support,US,06/15/2008,"medium, 75000",0.73,0.61,5,222,3,0,0,0
technical,Europe,14/02/2002,"medium, 61000",0.45,0.52,2,105,3,0,0,0
hr,APAC,22/02/1999,"medium, 75000",0.83,0.61,4,262,4,0,0,0
support,US,05/22/2003,"medium, 86000",0.62,0.64,4,163,3,0,0,0
